Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,SmartvCard__Email__c,qbdialer__CloseDate__c,qbdialer__CloseScore__c,qbdialer__Dials__c,qbdialer__LastCallTime__c,qbdialer__Related_Contact_Dials__c,qbdialer__Related_Contact_LastCallTime__c,qbdialer__ResponseTime__c,LID__LinkedIn_Company_Id__c,zisf__ZoomInfo_Complete_Status__c,zisf__ZoomInfo_Industry__c,zisf__ZoomInfo_Last_Clean_Run__c,zisf__Zoom_Clean_Status__c,zisf__zoom_id__c,zisf__zoom_lastupdated__c
0011R0000203nDKQAY,0,,VRG 29,,000000000000000AAA,,,ON,,Canada,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Media,1000000000,200,,,,,,0053600000D5mROAAZ,2018-11-08,0053600000D5bx4AAB,2018-11-08,00536000006DZLrAAO,2018-11-14,2018-11-14,,,Website - Content Download,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R0000206L4LQAU,0,,VRG 30,Prospect,000000000000000AAA,"800 W El Camino Real #250,",Mountain View,CA,94040,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Technology,50000000,500,,,Sapu ensures only genuine customers use your websites and mobile apps.,,,0053600000D5bx4AAB,2018-11-09,0053600000D5bx4AAB,2018-11-09,00536000006DZLrAAO,2018-11-09,,,,Other,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020HXABQA4,0,,VRG 31,,000000000000000AAA,,Reno,Nevada,,,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000006DI2SAAW,2018-11-12,00536000006DI2SAAW,2018-11-12,00536000006DI2SAAW,2018-11-12,2018-11-12,,,DemandZen,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020HmpKQAS,0,,VRG 32,,000000000000000AAA,,,,,Spain,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Finance,1000000,10,,,,,,0053600000D5bx4AAB,2018-11-12,0053600000D5bx4AAB,2018-11-12,00536000006DZLrAAO,2018-11-12,2018-11-12,,,Sales Rep Prospecting,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020HmpPQAS,0,,VRG 33,,000000000000000AAA,,,Massachusetts,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,10000,,,,,,00536000008H3MsAAK,2018-11-12,0053600000D5bx4AAB,2018-11-12,00536000006DZLrAAO,2018-11-12,2018-11-12,,,TestDrive,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QPPSQA4,0,,VRG 34,,000000000000000AAA,610 Falmouth Ct.,Sykesville,Maryland,21784,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Government,1000000000,10000,,,,,,0053600000D6H6NAAV,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-13,,,Website-Developer Edition,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QS1kQAG,0,,VRG 35,,000000000000000AAA,,,,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Healthcare,1000000,10,,,,,,0053600000D5bx4AAB,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-14,,,Website - Contact Us,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QSUHQA4,0,,VRG 36,,000000000000000AAA,Zuidpoolsingel 2,Alphen aan den Rijn,South Holland,2400 BA,Netherlands,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Insurance,1000000000,10000,,,,,,00536000006DdI0AAK,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-10-01,,,Field Event,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QVUPQA4,0,,VRG 37,,000000000000000AAA,1175 Farmington Ave,Bristol,Connecticut,6010,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Media,1000000000,10000,,,,,,00536000008H3MsAAK,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-06,,,Trade Show,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QWmJQAW,0,,VRG 38,,000000000000000AAA,645 High Mountain Road,Franklin Lakes,New Jersey,7417,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Banking,1000000000,5000,,,,,,0053600000D6H6NAAV,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-10-18,,,Trade Show,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QXsuQAG,0,,VRG 39,,000000000000000AAA,,,WI,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,1000000000,5000,,,,,,00536000008H3MsAAK,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-10-15,,,Website - Content Download,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QbDYQA0,0,,VRG 40,,000000000000000AAA,,,TX,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Biotechnology,1000000,200,,,,,,0053600000D5bx4AAB,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-14,,,Website - Chat,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0011R000020QbFeQAK,0,,VRG 41,,000000000000000AAA,225 Borthwick Ave,Portsmouth,New Hampshire,2116,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Insurance,1000000000,10000,,,,,,00536000008H3MsAAK,2018-11-14,00536000008Ge5aAAC,2018-11-14,00536000006DZLrAAO,2018-11-14,2018-11-13,,,Trade Show,,,,,0,,0,,,,Not Compared,,,Not Compared,,
0013600000FMFlfAAH,0,,VRG 42,,000000000000000AAA,,,CA,,United States,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Logistics and Supply Chain,50000000,200,,,,,,00536000001f53BAAQ,2016-04-08,00536000001f53BAAQ,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FSw0FAAT,0,,VRG 43,,000000000000000AAA,,Tokyo,Tokyo,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,1000000000,10000,,,,,,00536000006CbBOAA0,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-11-01,2018-11-01,,,,,,,,,,,,,,,,,,,
0013600000FSw18AAD,0,,VRG 44,Customer,000000000000000AAA,,,AZ,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FSw4aAAD,0,,VRG 45,Prospect,000000000000000AAA,,Tokyo,Tokyo,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,,,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,2018-02-26,,,,,,,,,,,,,,,,,,,
0013600000FSw6aAAD,0,,VRG 46,,000000000000000AAA,,Santa Clara,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-14,00536000006DZLrAAO,2018-08-14,,,,,,,,,,,,,,,,,,,,
0013600000FSw8bAAD,0,,VRG 47,,000000000000000AAA,,New York,NY,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Financial Services,1000000000,10000,,,,,,00536000006DdI0AAK,2016-04-10,00536000001fP03AAE,2018-08-27,00536000006CbBOAA0,2018-08-27,,,,,,,,,,,,,,,,,,,,
0013600000FSw9KAAT,0,,VRG 48,,000000000000000AAA,,Santa Clara,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,10000,,,,,,00536000006DI2SAAW,2016-04-10,00536000001fP03AAE,2018-09-05,00536000006CbBOAA0,2018-09-05,2018-01-16,,,,,,,,,,,,,,,,,,,
0013600000FSwALAA1,0,,VRG 49,,000000000000000AAA,,Pleasanton,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,50000000,5000,,,,,,00536000006DI2SAAW,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,2017-11-07,,,,,,,,,,,,,,,,,,,
0013600000FSwB9AAL,0,,VRG 50,,000000000000000AAA,,Mountain View,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FSxEcAAL,0,,VRG 51,,000000000000000AAA,,,AR,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Retail,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FSyaDAAT,0,,VRG 52,,000000000000000AAA,200 Vesey Street,New York,NY,10285,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Banking,1000000000,10000,,,,,,00536000006DI2SAAW,2016-04-10,00536000001fP03AAE,2018-11-14,00536000008Ge5aAAC,2018-11-14,2018-11-14,,,Field Event,,,,,0,,,,,,Not Compared,,,Not Compared,,
0013600000FSyaYAAT,0,,VRG 53,,000000000000000AAA,,,VA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,1000000000,5000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-08,00536000006DZLrAAO,2018-08-08,2018-04-12,,,,,,,,,,,,,,,,,,,
0013600000FSyacAAD,0,,VRG 54,,000000000000000AAA,,San Francisco,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FSyc0AAD,0,,VRG 55,,000000000000000AAA,,San Francisco,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,5000,,,,,,00536000006DI2SAAW,2016-04-10,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,2018-05-17,,,,,,,,,,,,,,,,,,,
0013600000FSydGAAT,0,,VRG 56,,000000000000000AAA,,Plano,TX,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Automotive,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-10,00536000001fP03AAE,2018-09-25,00536000006DZLrAAO,2018-09-25,2018-06-14,,,,,,,,,,,,,,,,,,,
0013600000FSzgKAAT,0,,VRG 57,Prospect,000000000000000AAA,,,CA,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000001fP03AAE,2016-04-11,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,,,,,,,,,,,,,,,,,,,,
0013600000FT4tiAAD,0,,VRG 58,Prospect,000000000000000AAA,2211 North First St,San Jose,CA,95110,USA,,,,2211 North First St,San Jose,CA,95110,USA,,,,(650) 206-8888,,,www.vrgcorporation.com,,Finance,1000000000,10000,,,Payment services,,,0053600000D5bx4AAB,2016-04-11,00536000001fP03AAE,2018-10-18,0053600000D5bx4AAB,2018-11-13,2018-11-13,,,Website-Developer Edition,,,,,0,,,,,,,,,,,
0013600000FT9dXAAT,0,,VRG 59,,000000000000000AAA,,Tokyo,,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,1000000,500,,,,,,0053600000D5batAAB,2016-04-11,00536000001fP03AAE,2018-08-27,00536000006CbBOAA0,2018-08-27,2018-05-22,,,,,,,,,,,,,,,,,,,
0013600000FTA26AAH,0,,VRG 60,,000000000000000AAA,,Tokyo,,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Telecommunications,1000000000,10000,,,,,,00536000001fP03AAE,2016-04-11,00536000001fP03AAE,2018-08-02,00536000006DZLrAAO,2018-08-02,2016-07-04,,,,,,,,,,,,,,,,,,,
0013600000FTABiAAP,0,,VRG 61,,000000000000000AAA,,Tokyo,TX,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,5000,,,,,,0053600000D5batAAB,2016-04-11,00536000001fP03AAE,2018-09-26,00536000006DZLrAAO,2018-09-26,,,,,,,,,,,,,,,,,,,,
0013600000FTAGBAA5,0,,VRG 62,,000000000000000AAA,,Tokyo,Kant?,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Financial Services,1000000000,5000,,,,,,00536000001fP03AAE,2016-04-11,00536000001fP03AAE,2018-11-09,00536000006DZLrAAO,2018-11-09,,,,,,,,,,,,,,,,,,,,
0013600000H7ZywAAF,0,,VRG 63,,000000000000000AAA,,Tokyo,,,Japan,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,,,,,,,,,00536000001fP03AAE,2016-04-20,00536000001fP03AAE,2016-04-20,00536000001fP03AAE,2016-04-20,,,,,,,,,,,,,,,,,,,,
0013600000H7a18AAB,0,,VRG 64,,000000000000000AAA,,New York,NY,,USA,,,,,,,,,,,,(650) 206-8888,,,www.vrgcorporation.com,,Computer Software,1000000000,1000,,,,,,0053600000D5bx4AAB,2016-04-20,00536000001fP03AAE,2018-08-20,0053600000D5bx4AAB,2018-08-20,2018-08-20,,,,,,,,,,,,,,,,,,,
